ID,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12
101,0,0,0,0,0.268511593,0,0,0,0,0
102,0,0,0,0,0.282221695,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0.232604374,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0.238776517,0,0,0,0,0
108,0,0,0,0,0.322555812,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0.30742913,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0.327802916,0,0,0,0,0
119,0,0,0,0,0.334535835,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0.291901647,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0.293177481,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0.232725405,0,0,0,0,0
128,0,0,0,0,0.254383798,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0.271829916,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0.278658397,0,0,0,0,0
135,0,0,0,0,0.274122807,0,0,0,0,0
136,0,0,0,0,0.283645276,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0.300958628,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0
