,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12
59,0,0.190211089,0.075027344,0.301902115,0.499261658,-0.039865691,-1.833899832,-0.482366019,-0.799053849,-1.056087658
60,0.076525618,0.451523354,0.23846962,0.378695762,0.670228805,0.308794811,0.777532154,0.318716338,0.402169929,0.659394791
61,0.260507869,0.269902063,0.187193612,0.48291571,0.500386442,0.554024924,0,0,0,0
62,-0.271276444,0.538627442,-0.114052935,0.378695762,0.455770015,0,0,-0.188969606,-1.746462562,0.200954799
63,-0.175504861,0.101253722,0.068617843,0.628617941,0,-2.306436991,0,0,0,0
64,1.833178063,0.445963518,0.284938502,-2.211032831,0.473391629,0.594618571,0,0,0,0
65,-0.971921178,0.614611859,0.222445867,0.564851788,0.943551284,-4.735938957,0,-2.851567089,-0.198944564,-3.525245453
66,0.210101773,0.340326645,0.2721195,-0.64807643,0,0.633543986,0,0,0,0
67,-0.097375413,0.483029088,0.121496227,0,0.584370303,0.051330995,-0.024241919,-0.426290254,-1.821350571,-0.808530062
68,-0.178025166,0.010443077,-0.380047227,0.361211494,0.496262234,0.2648647,0,0,0,0
69,0.404165242,0.527507771,0.20481974,0.489429457,-1.328512121,0.433912216,-3.213631188,-2.941688854,-2.661704612,0.580543112
70,0.210101773,-0.627084718,0.097460598,-0.483861445,1.048156183,0.006288729,0,0,0,0
71,-0.104936327,-0.121139695,0.368262015,0.470231046,1.009913532,0,0,0,0,0
72,0,-0.339826554,0.039775089,0.70472593,0,0.036872984,0,0,0,0
73,0,0.203184038,0.115086726,1.345815746,0.681101716,0.045214144,0,0,0,0
74,0,0.405191392,0.509271037,0.465431443,0.524006903,0.913806973,0,0,0,0
75,0,0.281021734,0.111881975,0,0.46589307,0,0,0,0,0
76,0,-0.180444606,0.148736606,0,0,0.317692048,0,0,0,0
77,0,0,0.240071995,-1.814722763,1.080025059,0.291000335,0,0,0,0
78,0,-0.21195034,0.216036366,0.68518469,0.626362234,-0.317348291,0,0,0,0
79,0,-5.679121837,0.836155588,-1.288480588,0.582120736,0.116392046,0,0,0,0
80,0,-1.312797753,0.224048243,0.408521865,0.620738315,0.198135417,0,0,0,0
81,0,0,0.337816885,0.633417544,0.899309785,0,0,0,0,0
82,0,-0.649324059,0.004522833,0.260419833,1.006914108,-0.143852157,-0.197062479,0.133466043,0.401164721,0.920705586
83,0,-0.273108529,0.30576938,0.575822309,-0.943086183,0.653006694,0,0,0,0
84,0,-0.480675718,-0.045150799,0.49148643,1.032784137,0.47506194,0,0,0,0
85,0,-0.067394619,0.167965109,0.202824598,0.99191699,0,0,0,0,0
86,1.939030865,0,0.047786965,-1.964538939,0,0,0,0,0,0
87,0,0,0.14072473,0.572394022,0,0,0,0,0,0
88,0,0,0.009329959,0.470916703,0,0,0,0,0,0
89,0,0,0.260902873,0,0,0,0,0,0,0
90,0,0,0.065413093,-0.051554355,-1.6970663,0,0,0,0,0
91,0,0,0.257698123,0.88985347,0,0,0,0,0,0
92,0,0,2.007491895,0.382809707,0,0,0,0,0,0
93,0,0,0,0,-1.420744397,0,0,0,0,0
94,0,0,0,0,-1.361130853,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,-1.39824872,0,0,0,0,0
97,0,0,0,0,-1.373503475,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,-1.404622495,0,0,0,0,0
102,0,0,0,0,-1.362630564,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,-1.413620766,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,-1.445489642,0,0,0,0,0
108,0,0,0,0,-1.337135464,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,-1.336760536,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,-1.31951385,0,0,0,0,0
119,0,0,0,0,-1.286895118,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,-1.323263129,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,-1.347633446,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,-1.468735176,0,0,0,0,0
128,0,0,0,0,-1.422244109,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,-1.405747279,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,-1.353632294,0,0,0,0,0
135,0,0,0,0,-1.386625954,0,0,0,0,0
136,0,0,0,0,-1.331136616,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,-1.361130853,0,0,0,0,0
